user_id,account_age_days,num_followers,num_following,num_posts,num_posts_last_7_days,avg_likes_per_post,avg_comments_per_post,num_shares_per_post,num_hashtags_per_post,post_sequence,product_name,product_category,text_message,contains_link,contains_media,sentiment,is_scam_post,num_messages_sent,num_suspicious_links_shared,num_reports_received,transaction_amount,purchase_time,payment_method,is_fraud_transaction,transaction_sequence
16,3172,3382,1841,485,8,134,54,31,1,"[4, 1, 2, 0, 3, 4, 2]",Sunglasses,Toys,Reviewing my Sunglasses today.,0,0,positive,0,95,0,1,9.9,6,UPI,0,"[10.28, 143.38, 50.37, 10.9, 7.89]"
17,2920,2794,1740,172,1,258,48,20,6,"[3, 4, 4, 2, 3, 2, 1]",Blender,Beauty,Unboxing my new Blender!,0,0,positive,0,85,0,0,47.08,15,PayPal,0,"[59.92, 51.02, 73.77, 60.62, 23.16]"
18,131,148,1040,166,1,403,56,38,8,"[0, 0, 1, 3, 2, 0, 1]",Action Figure,Clothing,Check out my new Action Figure purchase.,0,1,negative,0,40,0,1,62.09,3,UPI,0,"[166.24, 79.24, 35.45, 32.47, 10.56]"
19,1686,437,1223,249,17,4,2,48,2,"[4, 0, 0, 1, 2, 0, 2]",Handbag,Toys,Unboxing my new Handbag!,0,0,neutral,0,96,1,1,25.48,7,Credit Card,0,"[73.77, 7.63, 5.35, 19.3, 5.88]"
20,3381,2202,543,192,2,450,21,28,1,"[1, 4, 0, 2, 2, 3, 2]",Sunglasses,Toys,"Just got a Sunglasses, highly recommend it.",0,0,negative,0,32,0,0,325.15,14,Credit Card,0,"[14.26, 30.99, 12.74, 130.41, 102.71]"
21,770,3749,1235,277,2,238,34,17,5,"[2, 1, 2, 3, 4, 3, 4]",Smart Watch,Clothing,Check out my new Smart Watch purchase.,0,0,negative,0,2,0,0,17.51,13,UPI,0,"[122.8, 13.72, 1.71, 93.35, 44.38]"
22,2392,3161,434,394,17,293,27,22,1,"[0, 4, 4, 3, 1, 1, 4]",Laptop,Home Appliances,Reviewing my Laptop today.,1,0,positive,0,74,0,0,13.3,9,Credit Card,0,"[23.91, 79.15, 92.1, 40.44, 75.16]"
23,1516,3901,1296,237,5,334,41,32,0,"[3, 1, 1, 3, 4, 0, 3]",Laptop,Home Appliances,Check out my new Laptop purchase.,0,1,neutral,0,11,0,1,65.26,21,UPI,0,"[33.57, 22.08, 8.16, 45.78, 15.07]"
24,3486,4453,289,229,0,98,11,47,9,"[3, 3, 4, 4, 3, 1, 0]",Handbag,Toys,"Bought Handbag from this store, great quality.",0,0,negative,0,89,0,0,0.75,18,UPI,0,"[64.58, 14.61, 59.14, 43.33, 47.55]"
25,2854,3245,802,164,14,439,0,8,3,"[2, 3, 3, 4, 4, 2, 4]",Cosmetics Kit,Electronics,"Just got a Cosmetics Kit, highly recommend it.",0,0,neutral,0,72,0,0,37.12,12,UPI,0,"[164.33, 43.82, 13.03, 49.31, 47.79]"
26,2434,4551,482,242,10,150,99,43,8,"[4, 1, 0, 1, 3, 1, 2]",Cosmetics Kit,Electronics,"Just got a Cosmetics Kit, highly recommend it.",0,0,negative,0,8,0,1,24.13,1,UPI,0,"[0.18, 179.17, 121.0, 10.7, 49.31]"
27,1216,2823,233,89,9,480,93,42,9,"[1, 4, 2, 2, 3, 3, 4]",Handbag,Toys,Check out my new Handbag purchase.,0,1,negative,0,54,0,1,5.02,10,Credit Card,0,"[1.46, 40.36, 101.6, 61.3, 46.34]"
28,956,4724,407,178,3,257,22,37,2,"[0, 2, 4, 3, 3, 0, 2]",Designer Shoes,Beauty,Unboxing my new Designer Shoes!,0,1,negative,0,12,0,1,23.14,17,Credit Card,0,"[17.31, 41.09, 21.87, 73.73, 152.3]"
29,2325,3270,693,474,13,355,27,3,2,"[2, 4, 0, 1, 4, 2, 4]",Laptop,Home Appliances,Limited offer! Buy Laptop and claim a prize!,1,1,neutral,1,14,0,1,41.63,18,UPI,0,"[89.01, 17.44, 13.9, 257.09, 13.24]"
30,1185,485,1169,57,1,148,68,15,5,"[4, 4, 4, 2, 0, 0, 3]",Action Figure,Clothing,Reviewing my Action Figure today.,0,1,negative,0,86,0,0,38.92,9,UPI,0,"[0.78, 30.78, 14.84, 18.06, 34.95]"
31,460,199,561,460,12,461,35,2,5,"[3, 1, 0, 4, 3, 4, 1]",Fitness Tracker,Home Appliances,"Just got a Fitness Tracker, highly recommend it.",0,1,negative,0,41,0,0,228.29,0,UPI,0,"[1.64, 41.88, 45.03, 64.73, 28.41]"
32,3386,4466,429,262,15,141,53,7,7,"[0, 2, 1, 2, 0, 2, 0]",Cosmetics Kit,Electronics,Check out my new Cosmetics Kit purchase.,0,0,positive,0,41,0,0,12.15,22,PayPal,0,"[50.99, 34.31, 112.84, 72.26, 5.46]"
33,22,1982,431,135,11,250,46,15,9,"[4, 1, 4, 0, 0, 4, 4]",Wireless Earbuds,Electronics,Reviewing my Wireless Earbuds today.,0,0,neutral,0,24,0,0,79.77,9,Credit Card,0,"[58.3, 113.08, 4.14, 29.84, 64.4]"
34,2301,1471,1638,237,4,445,55,1,5,"[4, 1, 1, 0, 3, 4, 2]",Handbag,Toys,Check out my new Handbag purchase.,0,0,positive,0,39,0,0,100.52,4,Credit Card,0,"[102.15, 19.29, 34.95, 11.6, 13.46]"
35,748,4343,1568,306,18,233,9,44,7,"[2, 2, 4, 3, 3, 1, 3]",Sunglasses,Toys,Reviewing my Sunglasses today.,0,1,positive,0,93,0,0,4.13,15,PayPal,0,"[27.92, 60.57, 2.92, 11.98, 45.11]"
36,2905,4883,496,242,2,394,4,18,7,"[2, 2, 4, 1, 0, 1, 0]",Blender,Beauty,"Bought Blender from this store, great quality.",0,0,negative,0,52,0,1,0.75,18,PayPal,0,"[49.64, 18.77, 27.38, 50.86, 17.28]"
37,3633,2311,982,150,19,131,13,23,6,"[1, 3, 1, 4, 0, 3, 3]",Blender,Beauty,"Just got a Blender, highly recommend it.",0,0,neutral,0,61,0,1,7.41,2,Credit Card,0,"[11.75, 22.41, 8.59, 55.86, 6.98]"
38,475,3373,1112,345,1,46,23,15,4,"[1, 3, 2, 2, 2, 1, 0]",Designer Shoes,Beauty,"Just got a Designer Shoes, highly recommend it.",0,0,negative,0,88,0,1,3.87,9,PayPal,0,"[0.62, 19.66, 105.45, 10.68, 48.3]"
39,1083,2078,996,363,16,371,62,39,3,"[1, 4, 3, 2, 1, 1, 3]",Fitness Tracker,Home Appliances,Unboxing my new Fitness Tracker!,0,0,neutral,0,86,0,0,122.93,13,PayPal,0,"[55.69, 112.47, 17.41, 30.92, 39.98]"
40,2559,1521,1434,246,10,93,27,1,0,"[1, 2, 3, 0, 2, 4, 4]",Sunglasses,Toys,"Bought Sunglasses from this store, great quality.",0,0,negative,0,21,0,1,3.98,13,UPI,0,"[5.52, 13.05, 104.72, 7.82, 4.88]"
41,2048,604,896,218,0,248,20,31,5,"[3, 2, 2, 2, 4, 3, 4]",Action Figure,Clothing,Reviewing my Action Figure today.,0,0,positive,0,78,0,1,34.07,15,UPI,1,"[56.17, 54.8, 41.1, 33.22, 13.4]"
42,3548,3848,1876,8,18,355,75,0,7,"[1, 0, 4, 3, 4, 1, 1]",Designer Shoes,Beauty,Unboxing my new Designer Shoes!,0,1,neutral,0,62,0,1,252.71,23,Credit Card,0,"[36.13, 0.94, 27.21, 8.8, 54.25]"
43,2748,3342,826,429,7,19,19,48,3,"[1, 1, 0, 2, 1, 0, 4]",Smart Watch,Clothing,Check out my new Smart Watch purchase.,0,0,positive,0,52,0,1,24.25,2,UPI,0,"[0.77, 38.71, 137.14, 56.31, 61.72]"
44,976,1417,1264,293,10,179,61,17,6,"[1, 4, 4, 3, 0, 0, 1]",Designer Shoes,Beauty,"Just got a Designer Shoes, highly recommend it.",0,1,negative,0,2,0,1,15.85,15,UPI,0,"[66.14, 4.49, 28.48, 11.05, 26.79]"
45,1807,4597,777,366,7,271,95,38,2,"[1, 1, 0, 4, 4, 1, 4]",Action Figure,Clothing,Unboxing my new Action Figure!,0,1,positive,0,77,0,0,118.64,0,PayPal,1,"[67.12, 6.09, 37.82, 57.52, 19.11]"
46,190,3875,222,12,16,481,50,31,4,"[1, 2, 4, 0, 3, 0, 0]",Action Figure,Clothing,Exclusive deal on Action Figure! Click immediately!,1,1,negative,1,10,1,3,33.01,5,PayPal,1,"[47.39, 0.73, 25.42, 5.07, 18.22]"
47,3006,2933,1771,262,19,428,39,8,6,"[3, 1, 4, 0, 4, 3, 3]",Blender,Beauty,Unboxing my new Blender!,1,0,neutral,0,63,0,1,70.02,2,PayPal,0,"[1.21, 6.92, 31.71, 25.5, 105.16]"
48,2735,548,1688,394,5,135,84,2,8,"[4, 4, 3, 1, 4, 2, 2]",Fitness Tracker,Home Appliances,Check out my new Fitness Tracker purchase.,0,0,negative,0,65,0,1,29.49,14,PayPal,0,"[10.16, 18.44, 9.77, 170.05, 235.53]"
49,3006,838,467,457,6,236,80,23,8,"[4, 0, 3, 1, 2, 2, 0]",Smart Watch,Clothing,Unboxing my new Smart Watch!,0,0,neutral,0,37,0,0,33.51,6,Credit Card,0,"[49.09, 3.55, 19.91, 80.21, 38.47]"
50,563,3815,568,224,12,189,64,10,6,"[4, 0, 1, 4, 2, 2, 3]",Cosmetics Kit,Electronics,Check out my new Cosmetics Kit purchase.,0,0,neutral,0,10,0,1,102.22,22,Credit Card,0,"[41.24, 156.37, 4.47, 127.26, 105.63]"
51,1900,847,1345,230,6,211,27,27,3,"[1, 2, 0, 2, 0, 0, 4]",Action Figure,Clothing,"Just got a Action Figure, highly recommend it.",0,0,neutral,0,31,0,0,118.14,5,UPI,0,"[18.73, 20.84, 9.41, 3.87, 26.11]"
52,3639,4709,374,177,10,404,53,15,5,"[4, 2, 2, 0, 4, 2, 4]",Wireless Earbuds,Electronics,Reviewing my Wireless Earbuds today.,0,0,negative,0,53,0,1,13.35,9,Credit Card,0,"[15.28, 32.55, 115.96, 1.48, 38.4]"
53,1268,4507,1135,246,9,63,1,28,3,"[1, 0, 4, 2, 0, 3, 0]",Designer Shoes,Beauty,Unboxing my new Designer Shoes!,0,0,positive,0,86,0,1,41.69,17,Credit Card,0,"[34.9, 60.33, 138.77, 19.27, 15.67]"
54,2880,4773,526,66,7,359,80,40,2,"[1, 0, 4, 4, 2, 2, 0]",Handbag,Toys,Unboxing my new Handbag!,0,1,negative,0,8,0,0,154.1,20,PayPal,0,"[14.06, 18.4, 6.35, 0.22, 10.56]"
55,1529,4254,411,296,9,413,13,11,8,"[0, 0, 4, 4, 3, 3, 3]",Laptop,Home Appliances,"Just got a Laptop, highly recommend it.",0,0,neutral,0,86,0,1,134.94,2,UPI,0,"[80.41, 48.32, 32.38, 85.75, 14.89]"
56,3203,4468,268,156,10,163,13,45,4,"[2, 4, 0, 0, 3, 2, 2]",Designer Shoes,Beauty,Unboxing my new Designer Shoes!,0,0,negative,0,32,0,0,110.63,12,UPI,0,"[74.78, 3.42, 83.17, 51.5, 149.9]"
57,3557,2272,625,164,19,388,43,3,7,"[3, 0, 2, 1, 3, 0, 1]",Wireless Earbuds,Electronics,Unboxing my new Wireless Earbuds!,0,0,neutral,0,32,0,0,108.13,3,Credit Card,0,"[43.65, 0.29, 22.03, 26.68, 8.1]"
58,647,3320,1275,183,16,468,81,25,2,"[4, 0, 1, 4, 2, 0, 0]",Blender,Beauty,Check out my new Blender purchase.,0,1,positive,0,63,0,1,149.04,2,Credit Card,0,"[51.31, 36.31, 73.69, 4.68, 56.5]"
59,2069,2558,1011,492,10,37,39,3,8,"[2, 0, 3, 1, 4, 4, 1]",Cosmetics Kit,Electronics,Reviewing my Cosmetics Kit today.,1,1,positive,0,2,0,0,105.52,15,Credit Card,0,"[33.73, 50.26, 117.68, 63.41, 6.82]"
60,2889,4698,1397,207,15,214,33,10,0,"[3, 0, 2, 2, 0, 4, 1]",Wireless Earbuds,Electronics,"Just got a Wireless Earbuds, highly recommend it.",0,0,negative,0,87,0,0,43.81,10,PayPal,0,"[16.98, 114.27, 17.94, 18.34, 55.57]"
61,2215,4311,1677,15,4,18,64,1,1,"[1, 4, 1, 4, 3, 0, 4]",Smart Watch,Clothing,Check out my new Smart Watch purchase.,0,0,negative,0,30,0,1,115.64,13,PayPal,0,"[9.2, 46.29, 49.48, 65.51, 69.96]"
62,1298,1996,1649,299,9,253,17,30,3,"[3, 4, 3, 3, 3, 0, 4]",Blender,Beauty,Check out my new Blender purchase.,0,0,negative,0,99,0,1,33.56,17,PayPal,0,"[74.96, 111.52, 0.36, 57.87, 45.84]"
63,2436,3673,449,305,19,73,33,49,1,"[4, 4, 3, 1, 1, 4, 1]",Designer Shoes,Beauty,"Just got a Designer Shoes, highly recommend it.",1,0,negative,0,62,0,1,5.96,6,UPI,0,"[1.91, 31.64, 165.78, 30.94, 24.72]"
64,601,1564,801,490,4,410,86,2,8,"[1, 1, 3, 4, 4, 2, 2]",Blender,Beauty,Unboxing my new Blender!,0,0,positive,0,50,0,0,20.8,1,Credit Card,0,"[12.56, 116.13, 1.75, 62.08, 14.34]"
65,2364,4018,1892,240,19,482,48,24,6,"[1, 4, 1, 3, 4, 3, 3]",Handbag,Toys,Unboxing my new Handbag!,0,0,negative,0,74,0,0,14.92,4,UPI,1,"[69.66, 86.55, 43.91, 0.51, 27.74]"
66,2062,1840,1560,454,8,140,79,33,1,"[4, 1, 2, 1, 2, 0, 2]",Action Figure,Clothing,"Just got a Action Figure, highly recommend it.",1,0,negative,0,86,0,1,6.03,17,PayPal,0,"[17.74, 54.37, 100.22, 120.65, 13.75]"
67,242,3291,1391,462,2,392,82,0,3,"[4, 2, 0, 2, 1, 2, 4]",Laptop,Home Appliances,Urgent: You are selected to win a free Laptop!,1,0,neutral,1,50,0,0,51.2,21,UPI,0,"[28.98, 106.0, 31.87, 7.63, 32.45]"
68,2042,2887,821,229,2,16,54,4,5,"[4, 3, 1, 1, 2, 2, 4]",Cosmetics Kit,Electronics,"Bought Cosmetics Kit from this store, great quality.",0,0,negative,0,4,0,0,10.92,6,PayPal,0,"[47.26, 94.84, 12.21, 155.25, 75.25]"
69,2825,726,254,389,9,94,61,38,1,"[3, 0, 2, 1, 2, 3, 1]",Blender,Beauty,Check out my new Blender purchase.,0,0,positive,0,44,0,1,10.27,2,UPI,0,"[15.72, 190.18, 141.97, 67.72, 40.88]"
70,3418,1244,1486,17,6,233,69,30,8,"[3, 1, 2, 3, 4, 1, 3]",Laptop,Home Appliances,Check out my new Laptop purchase.,0,0,neutral,0,81,0,1,18.14,14,Credit Card,0,"[127.04, 29.21, 27.73, 23.69, 87.03]"
71,2613,3460,1291,146,1,427,23,35,2,"[3, 0, 0, 2, 4, 4, 3]",Wireless Earbuds,Electronics,Unboxing my new Wireless Earbuds!,0,0,negative,0,2,0,0,13.9,18,Credit Card,0,"[8.46, 3.51, 18.34, 144.13, 30.6]"
72,2946,3718,125,243,7,300,80,2,1,"[3, 3, 1, 2, 2, 0, 3]",Laptop,Home Appliances,Unboxing my new Laptop!,0,1,positive,0,63,0,1,40.0,9,PayPal,0,"[18.37, 2.77, 54.43, 38.19, 78.46]"
73,1364,1065,1416,50,11,87,47,37,3,"[3, 1, 3, 3, 2, 3, 1]",Wireless Earbuds,Electronics,Check out my new Wireless Earbuds purchase.,0,0,negative,0,32,0,0,0.79,20,UPI,0,"[26.04, 67.9, 9.99, 61.62, 14.74]"
74,2140,4771,761,449,8,297,79,11,4,"[1, 4, 4, 0, 1, 1, 2]",Wireless Earbuds,Electronics,"Just got a Wireless Earbuds, highly recommend it.",0,0,positive,0,93,0,1,29.16,7,UPI,0,"[84.8, 50.73, 29.81, 6.92, 14.04]"
75,1391,282,798,258,10,50,38,15,3,"[4, 0, 2, 2, 4, 2, 4]",Wireless Earbuds,Electronics,Reviewing my Wireless Earbuds today.,0,1,positive,0,43,0,1,53.74,13,Credit Card,0,"[8.89, 23.62, 13.13, 25.3, 142.2]"
76,3004,1081,1357,237,18,244,47,7,2,"[1, 1, 4, 3, 3, 0, 3]",Fitness Tracker,Home Appliances,"Just got a Fitness Tracker, highly recommend it.",0,0,neutral,0,59,0,0,10.4,5,UPI,0,"[2.61, 6.96, 36.54, 67.61, 16.92]"
77,1479,3885,564,245,19,466,69,10,2,"[0, 4, 4, 4, 0, 2, 0]",Blender,Beauty,"Just got a Blender, highly recommend it.",0,0,negative,0,50,0,1,8.12,1,PayPal,0,"[79.94, 12.47, 132.66, 40.35, 13.6]"
78,3500,2881,1391,344,16,441,79,44,2,"[2, 1, 1, 2, 2, 3, 2]",Designer Shoes,Beauty,Unboxing my new Designer Shoes!,1,1,negative,0,30,0,1,118.13,1,Credit Card,0,"[39.58, 133.47, 90.45, 38.45, 9.05]"
79,2557,2584,1578,483,12,112,8,13,2,"[2, 4, 0, 2, 4, 2, 3]",Blender,Beauty,"Just got a Blender, highly recommend it.",0,0,neutral,0,92,0,0,85.76,5,PayPal,0,"[142.84, 104.56, 0.62, 3.78, 31.45]"
80,776,2970,1701,309,0,441,28,26,5,"[2, 2, 4, 2, 4, 0, 4]",Action Figure,Clothing,"Just got a Action Figure, highly recommend it.",0,1,positive,0,18,0,0,14.76,10,Credit Card,0,"[42.1, 41.14, 47.81, 57.73, 138.73]"
81,35,1152,1577,48,0,413,67,17,3,"[0, 2, 0, 1, 1, 4, 3]",Smart Watch,Clothing,"Bought Smart Watch from this store, great quality.",0,0,neutral,0,32,0,0,90.07,20,UPI,0,"[25.39, 1.47, 41.7, 42.29, 13.26]"
82,2254,3497,1915,283,7,388,59,7,6,"[2, 1, 3, 4, 0, 2, 0]",Action Figure,Clothing,"Bought Action Figure from this store, great quality.",0,0,neutral,0,64,0,0,108.66,22,UPI,0,"[36.81, 113.47, 49.42, 66.81, 53.26]"
83,3153,947,455,37,12,7,25,32,6,"[2, 1, 3, 4, 2, 1, 4]",Wireless Earbuds,Electronics,Check out my new Wireless Earbuds purchase.,0,1,positive,0,82,0,0,6.09,17,UPI,0,"[19.97, 9.85, 24.28, 58.47, 27.99]"
84,1956,4760,1711,283,5,36,37,3,3,"[2, 1, 4, 0, 3, 3, 0]",Action Figure,Clothing,Reviewing my Action Figure today.,0,0,positive,0,33,0,0,69.78,19,PayPal,0,"[30.41, 63.82, 52.7, 91.43, 87.25]"
85,1586,1717,1090,31,2,46,61,48,0,"[3, 3, 2, 1, 0, 1, 3]",Laptop,Home Appliances,"Just got a Laptop, highly recommend it.",0,1,positive,0,42,0,0,37.06,8,PayPal,0,"[8.27, 29.1, 18.01, 178.77, 24.44]"
86,3460,66,1089,242,15,99,25,29,8,"[1, 4, 0, 0, 0, 2, 1]",Fitness Tracker,Home Appliances,"Bought Fitness Tracker from this store, great quality.",0,0,positive,0,66,0,0,64.96,22,Credit Card,0,"[43.27, 39.32, 62.71, 7.94, 160.96]"
87,3074,636,911,40,9,344,13,19,6,"[1, 2, 0, 2, 2, 3, 0]",Action Figure,Clothing,"Just got a Action Figure, highly recommend it.",1,0,neutral,0,28,0,1,62.24,1,Credit Card,0,"[4.04, 51.3, 267.25, 146.1, 13.88]"
88,1022,313,1618,291,6,172,98,29,5,"[4, 3, 0, 0, 0, 1, 0]",Blender,Beauty,Limited offer! Buy Blender and claim a prize!,1,1,positive,1,57,0,2,31.04,22,UPI,0,"[28.59, 35.89, 10.78, 74.64, 35.12]"
89,3462,3397,861,102,2,240,48,26,4,"[0, 4, 0, 2, 0, 0, 0]",Blender,Beauty,Unboxing my new Blender!,0,1,positive,0,29,0,1,0.82,8,UPI,0,"[16.37, 123.82, 12.56, 13.87, 141.11]"
90,2614,564,616,291,13,388,42,24,8,"[1, 3, 1, 4, 4, 2, 2]",Wireless Earbuds,Electronics,Unboxing my new Wireless Earbuds!,0,0,positive,0,73,0,1,54.87,12,UPI,0,"[16.43, 72.87, 27.79, 61.61, 437.23]"
91,1130,1601,399,106,15,480,87,5,8,"[4, 3, 3, 4, 0, 1, 1]",Smart Watch,Clothing,"Just got a Smart Watch, highly recommend it.",0,0,positive,0,1,0,1,44.82,23,UPI,0,"[68.81, 33.74, 57.28, 32.76, 75.15]"
92,1501,825,286,245,3,190,7,4,9,"[0, 3, 1, 1, 2, 3, 4]",Action Figure,Clothing,"Bought Action Figure from this store, great quality.",0,0,neutral,0,74,0,1,33.43,20,PayPal,0,"[1.9, 25.81, 4.86, 17.18, 93.17]"
93,703,3670,1909,381,12,341,39,13,5,"[4, 0, 1, 4, 0, 2, 3]",Laptop,Home Appliances,"Bought Laptop from this store, great quality.",1,0,positive,0,4,0,1,58.82,0,Credit Card,0,"[7.23, 30.4, 410.91, 83.37, 29.19]"
94,2450,1025,185,86,0,430,24,13,7,"[1, 1, 0, 1, 3, 4, 0]",Designer Shoes,Beauty,"Bought Designer Shoes from this store, great quality.",0,0,positive,0,94,0,0,41.6,19,PayPal,0,"[16.66, 44.03, 78.02, 31.33, 16.09]"
95,2778,2251,283,65,4,233,62,33,6,"[3, 1, 4, 3, 4, 4, 0]",Action Figure,Clothing,Reviewing my Action Figure today.,0,1,neutral,0,35,0,1,21.67,20,UPI,0,"[71.33, 94.07, 14.17, 13.11, 20.93]"
96,1580,4757,1539,137,17,280,3,40,0,"[1, 2, 2, 2, 3, 2, 1]",Handbag,Toys,"Bought Handbag from this store, great quality.",0,0,negative,0,48,0,1,79.07,11,UPI,0,"[3.58, 153.22, 70.74, 3.19, 149.06]"
97,162,804,649,325,11,234,14,24,1,"[2, 4, 4, 4, 2, 1, 1]",Fitness Tracker,Home Appliances,"Bought Fitness Tracker from this store, great quality.",0,0,positive,0,66,0,1,67.45,0,Credit Card,0,"[34.16, 15.83, 131.96, 95.56, 21.01]"
98,202,2451,690,199,10,125,15,38,8,"[2, 1, 2, 1, 0, 0, 1]",Laptop,Home Appliances,Reviewing my Laptop today.,0,0,positive,0,25,0,1,43.8,18,PayPal,0,"[63.94, 13.28, 182.02, 9.23, 18.19]"
99,1982,4631,236,334,8,177,53,17,9,"[4, 0, 3, 2, 3, 1, 1]",Wireless Earbuds,Electronics,Unboxing my new Wireless Earbuds!,1,0,negative,0,91,0,1,36.27,4,UPI,0,"[96.19, 113.68, 63.17, 4.82, 29.72]"
100,996,1391,1041,492,6,476,10,19,3,"[4, 0, 0, 3, 0, 1, 4]",Fitness Tracker,Home Appliances,Check out my new Fitness Tracker purchase.,0,0,negative,0,4,0,0,51.83,1,UPI,0,"[21.18, 18.33, 15.9, 50.79, 7.02]"
101,2318,1235,814,92,13,172,27,42,2,"[2, 3, 3, 2, 1, 3, 0]",Cosmetics Kit,Electronics,Check out my new Cosmetics Kit purchase.,1,1,positive,0,38,0,1,47.31,9,UPI,0,"[76.79, 18.79, 22.47, 87.78, 30.82]"
102,816,4032,927,446,2,371,6,7,1,"[0, 0, 4, 2, 1, 0, 0]",Sunglasses,Toys,"Bought Sunglasses from this store, great quality.",0,1,negative,0,30,0,1,11.6,18,PayPal,0,"[42.57, 34.87, 27.19, 52.75, 3.14]"
103,3343,3280,413,347,15,119,37,25,7,"[4, 0, 4, 2, 3, 0, 0]",Fitness Tracker,Home Appliances,"Just got a Fitness Tracker, highly recommend it.",0,0,positive,0,29,0,1,8.85,8,UPI,0,"[69.84, 56.31, 15.54, 15.5, 13.49]"
104,456,4723,1955,277,6,29,23,20,6,"[2, 3, 4, 3, 0, 2, 1]",Fitness Tracker,Home Appliances,Check out my new Fitness Tracker purchase.,0,0,positive,0,72,0,0,14.68,20,Credit Card,0,"[63.25, 43.19, 40.22, 121.46, 428.95]"
